stop_id,stop_name,stop_lat,stop_lon,zone_id
prg:aro:238,"Amial",40.92033325475497,-8.295603359054155,anda:ARC7
prg:aro:239,"Alvarenga (Pirraça 1)",40.965027282110334,-8.152274487711708,anda:ARC9
prg:aro:24,"Alvite de Baixo",40.93138071906908,-8.412714254637589,anda:ARC19
prg:aro:240,"Fermêdo (R. N.ª Sr.ª da Saúde)",40.949635826315976,-8.416939737079652,anda:ARC20
prg:aro:241,"Tropeço (Aldeia)",40.933543976626616,-8.337888920964506,anda:ARC15
prg:aro:242,"Moldes (Vila Nova do Pisco)",40.90838966646175,-8.186458703226812,anda:ARC4
prg:aro:243,"Fuste",40.9030645068203,-8.219539861827618,anda:ARC4
prg:aro:244,"Tropeço (Cruz. Ribeira)",40.936457564816756,-8.320383296102685,anda:ARC7
prg:aro:245,"Sto. António",40.961838621520066,-8.167447168802752,anda:ARC9
prg:aro:246,"Sta. Eulália (Sto. António)",40.928443537183455,-8.27108619115334,anda:ARC1
prg:aro:247,"Espiunca (Vila Cova)",40.981072985154654,-8.230025292704738,anda:ARC8
prg:aro:248,"Santa Maria do Monte (Capela)",40.91086286121792,-8.276954552073734,anda:ARC5
prg:aro:249,"Mealha",40.95597445368769,-8.215282887250838,anda:ARC2
prg:aro:25,"Gamarão",40.95375835052715,-8.233016563043753,anda:ARC2
prg:aro:250,"Abelheira",40.9388553917324,-8.400465219196965,anda:ARC19
prg:aro:251,"Tropeço (Junta de Freguesia)",40.93632224411932,-8.311588056383409,anda:ARC7
prg:aro:252,"Moldes (Celadinha)",40.91502620110995,-8.189020466645452,anda:ARC4
prg:aro:253,"Bustelo (Noninha)",40.981220538747046,-8.118634906615805,anda:ARC17
prg:aro:254,"Estreitinha",40.962003981969985,-8.203314797858484,anda:ARC2
prg:aro:255,"Rossas 2",40.91590668542235,-8.30697151196439,anda:ARC7
prg:aro:256,"Regoufe",40.87923633420001,-8.13204880878657,anda:ARC18
prg:aro:257,"Fermêdo (Junta de Freguesia)",40.95387710198994,-8.416840552918787,anda:ARC20
prg:aro:258,"Moldes (Ribeiro)",40.912309280697755,-8.233623249367431,anda:ARC4
prg:aro:259,"Cruz. Lourosa de Matos",40.90015986693022,-8.2872047884754,anda:ARC6
prg:aro:26,"Mealha 2",40.954278258594954,-8.20728299885042,anda:ARC2
prg:aro:260,"Londral",40.93987654539385,-8.42479768565674,anda:ARC19
prg:aro:261,"Carvoeiro 2",40.91070406373284,-8.315330594834526,anda:ARC7
prg:aro:262,"Merujal",40.87635963832611,-8.299732567352306,anda:ARC13
prg:aro:263,"Tropeço (Panaceira)",40.93268147484888,-8.34178095207564,anda:ARC15
prg:aro:264,"Bustelo (Noninha)",40.98119539202003,-8.118798417914887,anda:ARC17
prg:aro:265,"Abelheira",40.93887051884615,-8.40063096125874,anda:ARC19
prg:aro:266,"Cruz. Telhe",40.90727592881271,-8.179892681896474,anda:ARC11
prg:aro:267,"Farrapa 3",40.89527932096606,-8.354495660360465,anda:ARC14
prg:aro:268,"Baía",40.975777117792816,-8.396285259700845,anda:ARC20
prg:aro:269,"Moldes (Cela)",40.919559551002045,-8.198044490381875,anda:ARC4
prg:aro:27,"Pernousela",40.93607733160965,-8.24477396166371,anda:ARC1
prg:aro:270,"Cales",40.900261083221984,-8.271604637000538,anda:ARC5
prg:aro:271,"Casinha",40.926545576819905,-8.279455715662053,anda:ARC1
prg:aro:272,"Baloca",40.98691354425556,-8.38716187612988,anda:ARC21
prg:aro:273,"Sto. António",40.961955914879056,-8.167477394634998,anda:ARC9
prg:aro:274,"Friães",40.90932359492368,-8.229369608800532,anda:ARC4
prg:aro:275,"Carvoeiro",40.91010120411349,-8.312857113770406,anda:ARC7
prg:aro:276,"Barreiros",40.92081924558769,-8.274223666436306,anda:ARC1
prg:aro:277,"Santa Maria do Monte (Capela)",40.91092605872373,-8.276804858279034,anda:ARC5
prg:aro:278,"Mosteirô",40.96415660851248,-8.38363783166779,anda:ARC20
prg:aro:279,"Mansores (Cruz. R. Santa Cristinal)",40.934664729291,-8.374171292512257,anda:ARC15
prg:aro:28,"Várzeas",40.958522370600875,-8.13921372331325,anda:ARC17
prg:aro:280,"Espiunca",40.99260430851461,-8.212704416533272,anda:ARC8
prg:aro:281,"Minas da Cavada",40.898775977469306,-8.17606032827521,anda:ARC11
prg:aro:282,"Rossas 4",40.909639537033044,-8.308228566133048,anda:ARC7
prg:aro:283,"Sá",40.91763346120363,-8.275085597522377,anda:ARC1
prg:aro:284,"Vila Viçosa (Ponte)",41.00503634276538,-8.218542587573305,anda:ARC8
prg:aro:285,"Cruz. Trav. do Viso",40.92806018900041,-8.372578637975085,anda:ARC15
prg:aro:286,"Nogueiró",40.918353057727366,-8.288184957466347,anda:ARC1
prg:aro:287,"Quintela",40.966556360284166,-8.161485326799976,anda:ARC9
prg:aro:288,"Moldes (E.B. 1 de Paços)",40.91798404205326,-8.225727361480251,anda:ARC4
